//--------------------------------------------------------------
//               (c)2004-2007 Aurora Team Presents:             
//                  ___                                         
//                 /   |_   _ _ __ ___  _ __ __ _               
//                / /| | | | | '__/ _ \| '__/ _` |              
//               / ___ | |_| | | | (_) | | | (_| |              
//              /_/  |_|\____|_|  \___/|_|  \__,_|              
//                 http://aurora.deltaanime.net                 
//--------------------------------------------------------------
//
// job_db1.txt
// Job-specific Values Database #1
//
//--------------------------------------------------------------
// Structure of Database:
//--------------------------------------------------------------
//
// <Weight>,<HPFactor>,<HPMultiplicator>,<SPFactor>,<BareFist>,<Dagger>,<1HSword>,<2HSword>,<1HSpear>,<2HSpear>,<1HAxe>,<2HAxe>,<1HMace>,<2HMace(Unused)>,<Rod>,<Bow>,<Knuckle>,<Instrument>,<Whip>,<Book>,<Katar>,<Revolver>,<Rifle>,<GatlingGun>,<Shotgun>,<GrenadeLauncher>,<FuumaShuriken>
//
//--------------------------------------------------------------
// Database Entries:
//--------------------------------------------------------------
//
//	#0	Novice, Novice High, Baby Novice
20000,  0,500,100, 500, 650, 700,2000,2000,2000, 800,2000, 700, 700, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#1	Swordsman, Swordsman High, Baby Swordsman
28000, 70,500,200, 400, 500, 550, 600, 650, 700, 700, 750, 650, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 	#2	Mage, Mage High, Baby Mage
22000, 30,500,600, 500, 600,2000,2000,2000,2000,2000,2000,2000,2000, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#3	Archer, Archer High, Baby Archer
26000, 50,500,200, 400, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#4	Acolyte, Acolyte High, Baby Acolyte
24000, 40,500,500, 400,2000,2000,2000,2000,2000,2000,2000, 600, 600, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#5	Merchant, Merchant High, Baby Merchant
28000, 40,500,300, 400, 600, 700,2000,2000,2000, 700, 750, 700, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#6	Thief, Thief High, Baby Thief
24000, 50,500,200, 400, 500, 650,2000,2000,2000, 800,2000,2000,2000,2000, 800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#7	Knight, Lord Knight, Baby Knight
28000,150,500,300, 400, 500, 500, 550, 600, 600, 700, 700, 650, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#8	Priest, High Priest, Baby Priest
26000, 75,500,800, 400,2000,2000,2000,2000,2000,2000,2000, 600, 600, 600,2000,2000,2000,2000, 600,2000,2000,2000,2000,2000,2000,2000
//	#9	Wizard, High Wizard, Baby Wizard
24000, 55,500,900, 500, 575,2000,2000,2000,2000,2000,2000,2000,2000, 625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#10	Blacksmith, Whitesmith/Mastersmith, Baby Blacksmith
30000, 90,500,400, 400, 600, 650,2000,2000,2000, 650, 650, 675, 675,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#11	Hunter, Sniper, Baby Hunter
27000, 85,500,400, 400, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#12	Assassin, Assassin Cross, Baby Assassin
24000,110,500,400, 400, 500, 650,2000,2000,2000, 800,2000,2000,2000,2000,2000,2000,2000,2000,2000, 500,2000,2000,2000,2000,2000,2000
//	#13	Peco Knight, Peco Lord Knight, Baby Peco Knight
20000,  0,500,100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#14	Crusader, Paladin, Baby Crusader
28000,110,700,470, 400, 500, 500, 550, 600, 600, 700, 700, 650, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#15	Monk, Champion, Baby Monk
26000, 90,650,470, 400,2000,2000,2000,2000,2000,2000,2000, 575, 575, 575,2000, 475,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#16	Sage, Professor/Scholar, Baby Sage
24000, 75,500,700, 450, 525,2000,2000,2000,2000,2000,2000,2000,2000, 625,2000,2000,2000,2000, 550,2000,2000,2000,2000,2000,2000,2000
// 	#17	Rogue, Stalker, Baby Rogue
24000, 85,500,500, 400, 500, 550,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 	#18	Alchemist, Creator/Biochemist, Baby Alchemist
30000, 90,500,400, 400, 550, 575,2000,2000,2000, 675, 700, 650, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 	#19	Bard, Clown/Minstrel, Baby Bard
27000, 75,300,600, 400, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000, 575,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 	#20	Dancer, Gypsy, Baby Dancer
27000, 75,300,600, 400, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000,2000, 575,2000,2000,2000,2000,2000,2000,2000,2000
//	#21	Peco Crusader, Peco Paladin, Baby Peco Crusader
20000,  0,500,100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 	#22	Wedding
20000,  0,500,100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 	#23	SuperNovice, Super Baby
20000,  0,500,100, 500, 650, 700,2000,2000,2000, 800,2000, 700, 700, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 	#24	Taekwon Kid
26000, 50,500,470, 400,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 	#25	TaeKwon Master/Star Gladiator
24000, 80,650,700, 450,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 550,2000,2000,2000,2000,2000,2000,2000
// 	#26	TaeKwon Master/Star Gladiator (Flying)
24000, 80,650,700, 450,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 550,2000,2000,2000,2000,2000,2000,2000
// 	#27	Soul Linker
24000, 55,500,900, 500, 575,2000,2000,2000,2000,2000,2000,2000,2000, 625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#28	Gunslinger
28000, 85,350,430, 500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 700, 750,1500, 700,1500,2000
//	#29	Ninja
26000, 75,350,470, 400, 500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 750
//	#30	Death Knight
20000,  0,500,100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
//	#31	Dark Collector
20000,  0,500,100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
