//×°±¸¾­ÑéÖµÉèÖÃDB£¬ÏµÍ³¶ÁÈëitemdbºó£¬»áÔÙ¶ÁÈëÕâ¸öDB¡£Ö´ÐÐ@reloadjappÖØ¶Á´ËÎÄ¼þ¡£
//ÎïÆ·ID,ÎïÆ·Ãû³Æ,ÎïÆ·ÖÐÎÄÃû,Éýµ½Lv1ËùÐèÒªµÄ¾­Ñé,Éýµ½Lv2ËùÐèÒªµÄ¾­Ñé,......,Éýµ½Lv100ËùÐèÒªµÄ¾­Ñé
//ID,Name,Jname,exp1,exp2,......,exp100
//exp1 ~ exp100Îª-1Ê±£¬±íÊ¾×î´óÖµ2147483647£»Îª0Ê±£¬±íÊ¾ÎÞ·¨Éýµ½Õâ¸ö¼¶±ð
1101,Sword,³¤½£,10753,128170,626692,1987636,4925423,10409803,19685307,34288609,56064142,87178267,130132393,187775015,263312979,360321965,482756478,634959093,821669430,1048032462,1319606667,1642371577,2022735262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1102,Sword_,³¤½£,12187,142704,688761,2162632,5315898,11160483,20987318,36383147,59245733,91797698,136599379,196560653,274952022,375414941,501971676,659034433,851414231,1084329118,1363412242,1694719331,2084736102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1103,Sword__,³¤½£,6453,84569,440485,1462650,3753997,8157762,15779276,28004995,46519366,73319972,110731436,161418102,228395851,315043038,425110884,562733073,732435028,939142497,1188189942,1485328317,1836732743,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1104,Falchion,Ô²ÔÂµ¶,12760,152838,734321,2292694,5607407,11722001,21962204,37952313,61630073,95260332,141447590,203147784,283679119,386732431,516380768,677088587,873720425,1111549182,1396263949,1733977643,2131234204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1105,Falchion_,Ô²ÔÂµ¶,14193,167372,796390,2467690,5997882,12472681,23264214,40046851,64811665,99879763,147914576,211933421,295318161,401825407,535595966,701163927,903465225,1147845837,1440069524,1786325396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1106,Falchion__,Ô²ÔÂµ¶,8460,109237,548115,1767707,4435980,9469960,18056173,31668699,52085298,81402038,122046633,176790871,248761991,341453504,458735175,604862567,784486023,1002659216,1264847223,1576934383,1945231685,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1107,Blade,ºñÈÐ½£,14767,177501,841946,2597751,6289398,13034208,24239110,41616027,67196037,103342420,152762824,218520591,304045338,413142980,550005159,719218198,925771556,1175066026,1472921390,1825583905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1108,Blade_,ºñÈÐ½£,16200,192035,904015,2772747,6679873,13784888,25541121,43710565,70377629,107961852,159229810,227306228,315684380,428235956,569220357,743293538,955516356,1211362681,1516726965,1877931658,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1109,Blade__,ºñÈÐ½£,10466,133900,655739,2072765,5117972,10782166,20333079,35332413,57651262,89484126,133361866,192163678,269128210,367864053,492359565,646992179,836537154,1066176060,1341504665,1668540645,2053730828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1110,Rapier,»÷´Ì³¤½£,34691,416208,1880895,5540693,12867101,25689074,46196497,76946252,120869317,181278337,261875388,366759614,500434841,667816934,874240979,1125468306,1427693279,1787549765,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
