// item_ammo.txt, Ammo Type Database
//
// Structure:
// Itemid,Ammotype
//
// Ammotype: 1:arrowm 2:bullet, 3:sphere, 4:shuriken, 5:kunai, 6:venomknife

// Arrows
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1772,1

// Bullets
13200,2
13201,2
13202,2

// Spheres
13203,3
13204,3
13205,3
13206,3
13207,3

// Shurikens
13250,4
13251,4
13252,4
13253,4
13254,4

// Kunais
13255,5
13256,5
13257,5
13258,5
13259,5

// Venomknife
1771,6
