//×°±¸ÄÍ¾Ã¶ÈÊôÐÔÉèÖÃDB£¬ÏµÍ³¶ÁÈëitemdbºó£¬»áÔÙ¶ÁÈëÕâ¸öDB¡£Ö´ÐÐ@reloadjappÖØ¶Á´ËÎÄ¼þ¡£
//ÎïÆ·ID,ÎïÆ·Ãû³Æ,ÎïÆ·ÖÐÎÄÃû,Lv0Ê±µÄÄÍ¾Ã¶È,Lv1Ê±µÄÄÍ¾Ã¶È,......,Lv100Ê±µÄÄÍ¾Ã¶È
//ID,Name,Jname,endurance0,endurance1,......,endurance100
//endurance0 ~ endurance100Îª-1Ê±£¬±íÊ¾×î´óÖµ2147483647
1101,Sword,³¤½£,13200,13238,13526,14366,16118,19200,24086,31310,41462,55190,73200,96254,125174,160838,204182,256200,317942,390518,475094,572894,685200,813350,958742,1122830,1307126,1513200,1742678,1997246,2278646,2588678,2929200,3302126,3709430,4153142,4635350,5158200,5723894,6334694,6992918,7700942,8461200,9276182,10148438,11080574,12075254,13135200,14263190,15462062,16734710,18084086,19513200,21025118,22622966,24309926,26089238,27964200,29938166,32014550,34196822,36488510,38893200,41414534,44056214,46821998,49715702,52741200,55902422,59203358,62648054,66240614,69985200,73886030,77947382,82173590,86569046,91138200,95885558,100815686,105933206,111242798,116749200,122457206,128371670,134497502,140839670,147403200,154193174,161214734,168473078,175973462,183721200,191721662,199980278,208502534,217293974,226360200,235706870,245339702,255264470,265487006,276013200
1102,Sword_,³¤½£,13200,13238,13526,14366,16118,19200,24086,31310,41462,55190,73200,96254,125174,160838,204182,256200,317942,390518,475094,572894,685200,813350,958742,1122830,1307126,1513200,1742678,1997246,2278646,2588678,2929200,3302126,3709430,4153142,4635350,5158200,5723894,6334694,6992918,7700942,8461200,9276182,10148438,11080574,12075254,13135200,14263190,15462062,16734710,18084086,19513200,21025118,22622966,24309926,26089238,27964200,29938166,32014550,34196822,36488510,38893200,41414534,44056214,46821998,49715702,52741200,55902422,59203358,62648054,66240614,69985200,73886030,77947382,82173590,86569046,91138200,95885558,100815686,105933206,111242798,116749200,122457206,128371670,134497502,140839670,147403200,154193174,161214734,168473078,175973462,183721200,191721662,199980278,208502534,217293974,226360200,235706870,245339702,255264470,265487006,276013200
1103,Sword__,³¤½£,13200,13238,13526,14366,16118,19200,24086,31310,41462,55190,73200,96254,125174,160838,204182,256200,317942,390518,475094,572894,685200,813350,958742,1122830,1307126,1513200,1742678,1997246,2278646,2588678,2929200,3302126,3709430,4153142,4635350,5158200,5723894,6334694,6992918,7700942,8461200,9276182,10148438,11080574,12075254,13135200,14263190,15462062,16734710,18084086,19513200,21025118,22622966,24309926,26089238,27964200,29938166,32014550,34196822,36488510,38893200,41414534,44056214,46821998,49715702,52741200,55902422,59203358,62648054,66240614,69985200,73886030,77947382,82173590,86569046,91138200,95885558,100815686,105933206,111242798,116749200,122457206,128371670,134497502,140839670,147403200,154193174,161214734,168473078,175973462,183721200,191721662,199980278,208502534,217293974,226360200,235706870,245339702,255264470,265487006,276013200
1104,Falchion,Ô²ÔÂµ¶,18840,18878,19166,20006,21758,24840,29726,36950,47102,60830,78840,101894,130814,166478,209822,261840,323582,396158,480734,578534,690840,818990,964382,1128470,1312766,1518840,1748318,2002886,2284286,2594318,2934840,3307766,3715070,4158782,4640990,5163840,5729534,6340334,6998558,7706582,8466840,9281822,10154078,11086214,12080894,13140840,14268830,15467702,16740350,18089726,19518840,21030758,22628606,24315566,26094878,27969840,29943806,32020190,34202462,36494150,38898840,41420174,44061854,46827638,49721342,52746840,55908062,59208998,62653694,66246254,69990840,73891670,77953022,82179230,86574686,91143840,95891198,100821326,105938846,111248438,116754840,122462846,128377310,134503142,140845310,147408840,154198814,161220374,168478718,175979102,183726840,191727302,199985918,208508174,217299614,226365840,235712510,245345342,255270110,265492646,276018840
1105,Falchion_,Ô²ÔÂµ¶,18840,18878,19166,20006,21758,24840,29726,36950,47102,60830,78840,101894,130814,166478,209822,261840,323582,396158,480734,578534,690840,818990,964382,1128470,1312766,1518840,1748318,2002886,2284286,2594318,2934840,3307766,3715070,4158782,4640990,5163840,5729534,6340334,6998558,7706582,8466840,9281822,10154078,11086214,12080894,13140840,14268830,15467702,16740350,18089726,19518840,21030758,22628606,24315566,26094878,27969840,29943806,32020190,34202462,36494150,38898840,41420174,44061854,46827638,49721342,52746840,55908062,59208998,62653694,66246254,69990840,73891670,77953022,82179230,86574686,91143840,95891198,100821326,105938846,111248438,116754840,122462846,128377310,134503142,140845310,147408840,154198814,161220374,168478718,175979102,183726840,191727302,199985918,208508174,217299614,226365840,235712510,245345342,255270110,265492646,276018840
1106,Falchion__,Ô²ÔÂµ¶,18840,18878,19166,20006,21758,24840,29726,36950,47102,60830,78840,101894,130814,166478,209822,261840,323582,396158,480734,578534,690840,818990,964382,1128470,1312766,1518840,1748318,2002886,2284286,2594318,2934840,3307766,3715070,4158782,4640990,5163840,5729534,6340334,6998558,7706582,8466840,9281822,10154078,11086214,12080894,13140840,14268830,15467702,16740350,18089726,19518840,21030758,22628606,24315566,26094878,27969840,29943806,32020190,34202462,36494150,38898840,41420174,44061854,46827638,49721342,52746840,55908062,59208998,62653694,66246254,69990840,73891670,77953022,82179230,86574686,91143840,95891198,100821326,105938846,111248438,116754840,122462846,128377310,134503142,140845310,147408840,154198814,161220374,168478718,175979102,183726840,191727302,199985918,208508174,217299614,226365840,235712510,245345342,255270110,265492646,276018840
1107,Blade,ºñÈÐ½£,24480,24518,24806,25646,27398,30480,35366,42590,52742,66470,84480,107534,136454,172118,215462,267480,329222,401798,486374,584174,696480,824630,970022,1134110,1318406,1524480,1753958,2008526,2289926,2599958,2940480,3313406,3720710,4164422,4646630,5169480,5735174,6345974,7004198,7712222,8472480,9287462,10159718,11091854,12086534,13146480,14274470,15473342,16745990,18095366,19524480,21036398,22634246,24321206,26100518,27975480,29949446,32025830,34208102,36499790,38904480,41425814,44067494,46833278,49726982,52752480,55913702,59214638,62659334,66251894,69996480,73897310,77958662,82184870,86580326,91149480,95896838,100826966,105944486,111254078,116760480,122468486,128382950,134508782,140850950,147414480,154204454,161226014,168484358,175984742,183732480,191732942,199991558,208513814,217305254,226371480,235718150,245350982,255275750,265498286,276024480
1108,Blade_,ºñÈÐ½£,24480,24518,24806,25646,27398,30480,35366,42590,52742,66470,84480,107534,136454,172118,215462,267480,329222,401798,486374,584174,696480,824630,970022,1134110,1318406,1524480,1753958,2008526,2289926,2599958,2940480,3313406,3720710,4164422,4646630,5169480,5735174,6345974,7004198,7712222,8472480,9287462,10159718,11091854,12086534,13146480,14274470,15473342,16745990,18095366,19524480,21036398,22634246,24321206,26100518,27975480,29949446,32025830,34208102,36499790,38904480,41425814,44067494,46833278,49726982,52752480,55913702,59214638,62659334,66251894,69996480,73897310,77958662,82184870,86580326,91149480,95896838,100826966,105944486,111254078,116760480,122468486,128382950,134508782,140850950,147414480,154204454,161226014,168484358,175984742,183732480,191732942,199991558,208513814,217305254,226371480,235718150,245350982,255275750,265498286,276024480
1109,Blade__,ºñÈÐ½£,24480,24518,24806,25646,27398,30480,35366,42590,52742,66470,84480,107534,136454,172118,215462,267480,329222,401798,486374,584174,696480,824630,970022,1134110,1318406,1524480,1753958,2008526,2289926,2599958,2940480,3313406,3720710,4164422,4646630,5169480,5735174,6345974,7004198,7712222,8472480,9287462,10159718,11091854,12086534,13146480,14274470,15473342,16745990,18095366,19524480,21036398,22634246,24321206,26100518,27975480,29949446,32025830,34208102,36499790,38904480,41425814,44067494,46833278,49726982,52752480,55913702,59214638,62659334,66251894,69996480,73897310,77958662,82184870,86580326,91149480,95896838,100826966,105944486,111254078,116760480,122468486,128382950,134508782,140850950,147414480,154204454,161226014,168484358,175984742,183732480,191732942,199991558,208513814,217305254,226371480,235718150,245350982,255275750,265498286,276024480
1110,Rapier,»÷´Ì³¤½£,29400,29438,29726,30566,32318,35400,40286,47510,57662,71390,89400,112454,141374,177038,220382,272400,334142,406718,491294,589094,701400,829550,974942,1139030,1323326,1529400,1758878,2013446,2294846,2604878,2945400,3318326,3725630,4169342,4651550,5174400,5740094,6350894,7009118,7717142,8477400,9292382,10164638,11096774,12091454,13151400,14279390,15478262,16750910,18100286,19529400,21041318,22639166,24326126,26105438,27980400,29954366,32030750,34213022,36504710,38909400,41430734,44072414,46838198,49731902,52757400,55918622,59219558,62664254,66256814,70001400,73902230,77963582,82189790,86585246,91154400,95901758,100831886,105949406,111258998,116765400,122473406,128387870,134513702,140855870,147419400,154209374,161230934,168489278,175989662,183737400,191737862,199996478,208518734,217310174,226376400,235723070,245355902,255280670,265503206,276029400
