//npc_monster.txt—Athena 2006/10/09 20:47:07 (JST)
// ---- Translation by Panda.

//Thanatos' Tower (Upper Floor)(thana_boss.gat)
thana_boss.gat,135,119,0,0	monster	Thanatos' Memory	1708,1,7200000,3600000,0

//Geffenia Dungeon(gef_dun03.gat)
gef_dun03.gat,0,0,0,0	monster	Dark Priest	1626,1,600000,300000,0
gef_dun03.gat,0,0,0,0	monster	Wraith	1192,5,180000,90000,0
gef_dun03.gat,0,0,0,0	monster	Wind Ghost	1263,5,180000,90000,0
gef_dun03.gat,0,0,0,0	monster	Wraith Dead	1291,1,1800000,900000,0

//Odin Temple(odin_tem01.gat)
odin_tem01.gat,0,0,0,0	monster	Skeggiold	1755,1,3600000,1800000,0
odin_tem01.gat,0,0,0,0	monster	Skeggiold	1754,1,3600000,1800000,0
odin_tem01.gat,0,0,0,0	monster	Breeze	1692,10,0,0,0
odin_tem01.gat,0,0,0,0	monster	Plasma	1693,15,0,0,0
odin_tem01.gat,0,0,0,0	monster	Plasma	1694,3,0,0,0
odin_tem01.gat,0,0,0,0	monster	Plasma	1695,3,0,0,0
odin_tem01.gat,0,0,0,0	monster	Plasma	1696,3,0,0,0
odin_tem01.gat,0,0,0,0	monster	Plasma	1697,3,0,0,0
odin_tem01.gat,0,0,0,0	monster	Yellow Plant	1081,5,180000,90000,0
odin_tem01.gat,0,0,0,0	monster	Blue Plant	1079,5,180000,90000,0
odin_tem01.gat,0,0,0,0	monster	Green Plant	1080,5,180000,90000,0

//Odin Temple(odin_tem02.gat)
odin_tem02.gat,0,0,0,0	monster	Skeggiold	1754,3,3600000,1800000,0
odin_tem02.gat,0,0,0,0	monster	Skeggiold	1755,3,3600000,1800000,0
odin_tem02.gat,0,0,0,0	monster	Skogul	1752,30,0,0,0
odin_tem02.gat,0,0,0,0	monster	Plasma	1693,15,0,0,0
odin_tem02.gat,0,0,0,0	monster	Blue Plant	1079,10,180000,90000,0
odin_tem02.gat,0,0,0,0	monster	Frus	1753,25,0,0,0
odin_tem02.gat,0,0,0,0	monster	Randgris	1765,1,3600000,1800000,0

//Odin Temple(odin_tem03.gat)
odin_tem03.gat,0,0,0,0	monster	Skeggiold	1754,15,0,0,0
odin_tem03.gat,0,0,0,0	monster	Skeggiold	1755,10,0,0,0
odin_tem03.gat,0,0,0,0	monster	Skogul	1752,5,0,0,0
odin_tem03.gat,0,0,0,0	monster	Plasma	1693,15,0,0,0
odin_tem03.gat,0,0,0,0	monster	Blue Plant	1079,12,180000,90000,0
odin_tem03.gat,0,0,0,0	monster	Shining Plant	1083,10,180000,90000,0
odin_tem03.gat,0,0,0,0	monster	Valkyrie Randgris	1751,1,28800000,7200000,0
odin_tem03.gat,0,0,0,0	monster	Frus	1753,5,0,0,0
odin_tem03.gat,0,0,0,0	monster	Randgris	1765,2,3600000,1800000,0

//Machine Doll Factory 1F(kh_dun01.gat)
kh_dun01.gat,0,0,0,0	monster	Alicel	1735,5,0,0,0
kh_dun01.gat,0,0,0,0	monster	Alice	1275,30,0,0,0
kh_dun01.gat,0,0,0,0	monster	Aliot	1736,5,0,0,0
kh_dun01.gat,0,0,0,0	monster	Aliza	1737,60,0,0,0
kh_dun01.gat,0,0,0,0	monster	Constant	1738,30,0,0,0

//Machine Doll Factory 2F(kh_dun02.gat)
kh_dun02.gat,0,0,0,0	monster	Alicel	1735,40,0,0,0
kh_dun02.gat,0,0,0,0	monster	Aliot	1736,35,0,0,0
kh_dun02.gat,0,0,0,0	monster	Aliza	1737,25,0,0,0
kh_dun02.gat,0,0,0,0	monster	Constant	1738,30,0,0,0
kh_dun02.gat,0,0,0,0	monster	Kiel-D-01	1734,1,7200000,3600000,0

//Einbroch Field(ein_fild01.gat)
ein_fild01.gat,0,0,0,0	monster	Demon Pungus	1378,50,0,0,0
ein_fild01.gat,0,0,0,0	monster	Punk	1199,50,0,0,0

//Einbroch Field(ein_fild02.gat)
ein_fild02.gat,0,0,0,0	monster	Driller	1380,40,0,0,0
ein_fild02.gat,0,0,0,0	monster	Demon Pungus	1378,25,0,0,0
ein_fild02.gat,0,0,0,0	monster	Ungoliant	1618,1,3600000,1800000,0

//Border Posts(yuno_fild10.gat)
yuno_fild10.gat,0,0,0,0	monster	Dustiness	1114,20,0,0,0
yuno_fild10.gat,0,0,0,0	monster	Hunter Fly	1035,10,0,0,0
yuno_fild10.gat,0,0,0,0	monster	Geographer	1368,20,0,0,0
yuno_fild10.gat,0,0,0,0	monster	Beetle King	1494,40,0,0,0
yuno_fild10.gat,0,0,0,0	monster	Stainer	1174,20,0,0,0

//Ice Cave(ice_dun01.gat)
ice_dun01.gat,0,0,0,0	monster	Gazeti	1778,10,0,0,0
ice_dun01.gat,0,0,0,0	monster	Roween	1782,40,0,0,0
ice_dun01.gat,0,0,0,0	monster	Muscipular	1780,20,0,0,0
ice_dun01.gat,0,0,0,0	monster	Siroma	1776,60,0,0,0

//Ice Cave(ice_dun02.gat)
ice_dun02.gat,0,0,0,0	monster	Gazeti	1778,30,0,0,0
ice_dun02.gat,0,0,0,0	monster	Iceicle	1789,10,0,0,0
ice_dun02.gat,0,0,0,0	monster	Snowier	1775,30,0,0,0
ice_dun02.gat,0,0,0,0	monster	Siroma	1776,20,0,0,0
ice_dun02.gat,0,0,0,0	monster	Ice Titan	1777,10,0,0,0

//Ice Cave(ice_dun03.gat)
ice_dun03.gat,0,0,0,0	monster	Gazeti	1778,15,0,0,0
ice_dun03.gat,0,0,0,0	monster	Iceicle	1789,10,0,0,0
ice_dun03.gat,0,0,0,0	monster	Snowier	1775,20,0,0,0
ice_dun03.gat,0,0,0,0	monster	Ice Titan	1777,30,0,0,0
ice_dun03.gat,0,0,0,0	monster	Siroma	1776,20,0,0,0
ice_dun03.gat,0,0,0,0	monster	Ktullanux	1779,1,7200000,3600000,0

//Audumra Grass Land(ra_fild01.gat)
ra_fild01.gat,0,0,0,0	monster	Muscipular	1780,40,0,0,0
ra_fild01.gat,0,0,0,0	monster	Geographer	1368,40,0,0,0
ra_fild01.gat,0,0,0,0	monster	Galion	1783,1,0,0,0
ra_fild01.gat,0,0,0,0	monster	Roween	1782,10,0,0,0
ra_fild01.gat,0,0,0,0	monster	Gryphon	1259,1,0,0,0
